Name,Address,City,State,Zip,Hours,Number,lat,lng
"TCC, Verizon Authorized Dealer",1230 N. Baldwin Avenue,Marion,IN,46952,"M-F 9-8, SAT 9-8, SUN 10-5",765-651-2000,40.57405472,-85.67476654
"TCC, Verizon Authorized Dealer","6404 W Jefferson Blvd., Suite A",Fort Wayne,IN,46804,"M-F 9-8, SAT 9-8, SUN 10-5",260-436-2477,41.0564003,-85.22509766
"TCC, Verizon Authorized Dealer",1126 W. McGalliard Road,Muncie,IN,47303,"M-F 9-8, SAT 9-8, SUN 10-5",765-282-5212,40.21900177,-85.39849854
"TCC, Verizon Authorized Dealer",2036 S. Scatterfield Road,Anderson,IN,46016,"M-F 9-8, SAT 9-7, SUN 10-5",765-644-4444,40.09640122,-85.65209961
"TCC, Verizon Authorized Dealer",5000 W. Lloyd Expressway,Evansville,IN,47712,"M-F 9-8, SAT 9-7, SUN 10-5",812-422-0577,37.97529984,-87.63469696
"TCC, Verizon Authorized Dealer",1352 South Rangeline Road,Carmel,IN,46032,"M-F 9-8, SAT 9-7, SUN 10-5",317-843-2900,39.95920181,-86.12680054
"TCC, Verizon Authorized Dealer",1723 South Bend Avenue,South Bend,IN,46637,"M-F 9-8, SAT 9-7, SUN 10-5",574-243-5730,41.69580078,-86.22239685
"TCC, Verizon Authorized Dealer","1279 N Emerson Avenue, Suite H",Greenwood,IN,46143,"M-F 9-8, SAT 9-7, SUN 10-5",317-888-2867,39.6393013,-86.08409882
"TCC, Verizon Authorized Dealer","2400 Marketplace Blvd., Suite A",Shelbyville,IN,46176,"M-F 9-8, SAT 9-7, SUN 10-5",317-392-4100,39.52140045,-85.7457962
"TCC, Verizon Authorized Dealer","1040 St. Road 229, Suite A",Batesville,IN,47006,"M-F 9-8, SAT 9-7, SUN 10-5",812-934-5500,39.31209946,-85.21589661
"TCC, Verizon Authorized Dealer",2075 Jonathon Moore Pike,Columbus,IN,47201,"M-F 9-8, SAT 9-7, SUN 10-5",812-372-3348,39.20009995,-85.9469986
"TCC, Verizon Authorized Dealer",222 N. 13th Street,Decatur,IN,46733,"M-F 9-8, SAT 10-8, SUN 10-5",260-728-4999,40.83004761,-84.93703461
"TCC, Verizon Authorized Dealer",1870 North State Street,North Vernon,IN,47265,"M-F 9-8, SAT 9-7, SUN 10-5",812-346-4593,39.01409912,-85.63899994
"TCC, Verizon Authorized Dealer",326 State Road 930 West,New Haven,IN,46774,"M-F 9-8, SAT 9-8, SUN 10-5",260-749-7400,41.06880188,-85.03199768
"TCC, Verizon Authorized Dealer","11722 Allisonville Road, Suite 101",Fishers,IN,46038,"M-F 9-8, SAT 9-7, SUN 10-5",317-578-2619,39.95859909,-86.03949738
"TCC, Verizon Authorized Dealer","1047 Smaltz Way, Unit 7",Auburn,IN,46706,"M-F 9-8, SAT 9-8, SUN 10-5",260-927-0489,41.36090088,-85.08650208
"TCC, Verizon Authorized Dealer","1717 S. State Road 57, Suite M",Washington,IN,47501,"M-F 9-8, SAT 9-7, SUN 10-5",812-257-0181,38.63430023,-87.17939758
